Title (abbreviated),Number
Les Musées de Genève (Bulletin mensuel des Musées et Collections de la Ville de Genève),1491
Les mystères de,1492
Les Nouveaux Cahiers,1493
Les voies romaines autour de la,1494
Lettres d'Humanité,1495
Lexis,1496
Library Hi-Tech Consecutive,1497
Libri,1498
Libyca,1499
Lingua Aegyptia,1500
Livre du Centenaire de l'I.F.A.O.,1501
Livret de la IVe Section de l'École pratique des Hautes Études,1502
Livret-annuaire de l'École Pratique des Hautes Études. Section des Sciences historiques et philologiques,1503
Lucentum,1504
Luchnos,1505
Ludica. Annali di Storia e Civiltà del Gioco,1506
Ludus Magistralis,1507
Lustrum,1508
Machriq,1509
Macne Akademiia Nauk Gruzinskoi SSR [Bulletin de l'Académie des Sciences de la RSS Géorgienne. Série Littérature et Langue],1510
MÆnh,1511
Magyarok,1512
Maia,1513
Maia N.S.,1514
Mais N.S.,1515
Makedonika,1516
Maltechnik. Restauro,1517
Man N.S.,1518
Man. Journal of the Royal Anthropological Institute,1519
Marianum,1520
Mariner's Mirror,1521
"Marmora. International Journal for Archaeology, History and Archaeometry of Marbles and Stones",1522
